Region;Code;Label;count
EL11;FORFOR;Forest land remaining Forest land;570286
EL11;FORCRP;Forest land converted to Cropland;111
EL11;FORART;Forest land converted to Artificial land;935
EL11;CRPFOR;Cropland converted to Forest land;16731
EL11;CRPCRP;Cropland remaining Cropland;487212
EL11;CRPGRS;Cropland converted to Grassland;23768
EL11;CRPART;Cropland converted to Artificial land;2689
EL11;GRSFOR;Grassland converted to Forest land;980
EL11;GRSCRP;Grassland converted to Cropland;102
EL11;GRSGRS;Grassland remaining Grassland;7504
EL11;GRSART;Grassland converted to Artificial land;60
EL11;ARTART;Artificial land remaining Artificial land;26182
EL11;RESCRP;Residual land converted to Cropland;251
EL11;RESART;Residual land converted to Artificial land;56
EL11;RESRES;Residual land remaining Residual land;206494
EL12;FORFOR;Forest land remaining Forest land;560997
EL12;FORART;Forest land converted to Artificial land;192
EL12;CRPFOR;Cropland converted to Forest land;1398
EL12;CRPCRP;Cropland remaining Cropland;943941
EL12;CRPART;Cropland converted to Artificial land;2157
EL12;GRSFOR;Grassland converted to Forest land;3572
EL12;GRSGRS;Grassland remaining Grassland;17828
EL12;GRSART;Grassland converted to Artificial land;1063
EL12;ARTART;Artificial land remaining Artificial land;61034
EL12;RESRES;Residual land remaining Residual land;215852
EL13;FORFOR;Forest land remaining Forest land;364139
EL13;FORART;Forest land converted to Artificial land;401
EL13;CRPFOR;Cropland converted to Forest land;140590
EL13;CRPCRP;Cropland remaining Cropland;175632
EL13;CRPGRS;Cropland converted to Grassland;6318
EL13;CRPART;Cropland converted to Artificial land;366
EL13;GRSCRP;Grassland converted to Cropland;1
EL13;GRSGRS;Grassland remaining Grassland;10781
EL13;GRSART;Grassland converted to Artificial land;24
EL13;ARTART;Artificial land remaining Artificial land;13023
EL13;RESART;Residual land converted to Artificial land;19
EL13;RESRES;Residual land remaining Residual land;157515
EL14;FORFOR;Forest land remaining Forest land;396863
EL14;FORCRP;Forest land converted to Cropland;6
EL14;FORART;Forest land converted to Artificial land;230
EL14;CRPFOR;Cropland converted to Forest land;34457
EL14;CRPCRP;Cropland remaining Cropland;540684
EL14;CRPGRS;Cropland converted to Grassland;4469
EL14;CRPART;Cropland converted to Artificial land;1938
EL14;GRSFOR;Grassland converted to Forest land;5581
EL14;GRSGRS;Grassland remaining Grassland;11209
EL14;GRSART;Grassland converted to Artificial land;708
EL14;ARTART;Artificial land remaining Artificial land;29200
EL14;RESCRP;Residual land converted to Cropland;306
EL14;RESRES;Residual land remaining Residual land;334814
EL21;FORFOR;Forest land remaining Forest land;413812
EL21;FORCRP;Forest land converted to Cropland;255
EL21;FORART;Forest land converted to Artificial land;480
EL21;CRPFOR;Cropland converted to Forest land;126984
EL21;CRPCRP;Cropland remaining Cropland;67977
EL21;CRPGRS;Cropland converted to Grassland;7683
EL21;CRPART;Cropland converted to Artificial land;963
EL21;GRSFOR;Grassland converted to Forest land;5012
EL21;GRSCRP;Grassland converted to Cropland;656
EL21;GRSGRS;Grassland remaining Grassland;564
EL21;GRSART;Grassland converted to Artificial land;325
EL21;ARTART;Artificial land remaining Artificial land;13004
EL21;RESCRP;Residual land converted to Cropland;1162
EL21;RESART;Residual land converted to Artificial land;39
EL21;RESRES;Residual land remaining Residual land;219628
EL22;FORFOR;Forest land remaining Forest land;56428
EL22;FORCRP;Forest land converted to Cropland;355
EL22;FORART;Forest land converted to Artificial land;279
EL22;CRPFOR;Cropland converted to Forest land;4146
EL22;CRPCRP;Cropland remaining Cropland;79856
EL22;CRPGRS;Cropland converted to Grassland;1069
EL22;CRPART;Cropland converted to Artificial land;2364
EL22;GRSCRP;Grassland converted to Cropland;2775
EL22;GRSGRS;Grassland remaining Grassland;1919
EL22;GRSART;Grassland converted to Artificial land;988
EL22;ARTART;Artificial land remaining Artificial land;7046
EL22;RESCRP;Residual land converted to Cropland;304
EL22;RESRES;Residual land remaining Residual land;59431
EL23;FORFOR;Forest land remaining Forest land;333251
EL23;FORART;Forest land converted to Artificial land;697
EL23;CRPFOR;Cropland converted to Forest land;87618
EL23;CRPCRP;Cropland remaining Cropland;370794
EL23;CRPGRS;Cropland converted to Grassland;10173
EL23;CRPART;Cropland converted to Artificial land;1782
EL23;GRSFOR;Grassland converted to Forest land;1864
EL23;GRSCRP;Grassland converted to Cropland;131
EL23;GRSGRS;Grassland remaining Grassland;2237
EL23;ARTART;Artificial land remaining Artificial land;17880
EL23;RESCRP;Residual land converted to Cropland;88
EL23;RESRES;Residual land remaining Residual land;231591
EL24;FORFOR;Forest land remaining Forest land;542541
EL24;FORART;Forest land converted to Artificial land;1735
EL24;CRPFOR;Cropland converted to Forest land;1992
EL24;CRPCRP;Cropland remaining Cropland;442386
EL24;CRPGRS;Cropland converted to Grassland;36614
EL24;CRPART;Cropland converted to Artificial land;2481
EL24;GRSFOR;Grassland converted to Forest land;435
EL24;GRSCRP;Grassland converted to Cropland;540
EL24;GRSGRS;Grassland remaining Grassland;4706
EL24;GRSART;Grassland converted to Artificial land;53
EL24;ARTART;Artificial land remaining Artificial land;26961
EL24;RESCRP;Residual land converted to Cropland;29
EL24;RESRES;Residual land remaining Residual land;436904
EL25;FORFOR;Forest land remaining Forest land;311906
EL25;FORCRP;Forest land converted to Cropland;23471
EL25;FORGRS;Forest land converted to Grassland;7484
EL25;FORART;Forest land converted to Artificial land;1538
EL25;CRPCRP;Cropland remaining Cropland;569468
EL25;CRPGRS;Cropland converted to Grassland;3177
EL25;GRSCRP;Grassland converted to Cropland;4601
EL25;GRSGRS;Grassland remaining Grassland;23343
EL25;GRSART;Grassland converted to Artificial land;236
EL25;ARTART;Artificial land remaining Artificial land;20304
EL25;RESCRP;Residual land converted to Cropland;39438
EL25;RESART;Residual land converted to Artificial land;71
EL25;RESRES;Residual land remaining Residual land;497350
EL30;FORFOR;Forest land remaining Forest land;68077
